theater_name,branch,city,district,url
豐原in89豪華影城,豐原in89豪華影城,台中市,豐原區,https://www.in89cinemax.com/
清水時代戲院,清水時代戲院,台中市,清水區,https://www.timescinema.com.tw/times.php
親親大戲院,親親大戲院,台中市,北區,https://www.ccmovie.com.tw/product.php?_path=product_showtimes
日日新大戲院,日日新大戲院,台中市,中區,https://srm.com.tw/product.php?_path=product_showtimes
台中中港新光影城,台中中港新光影城,台中市,西屯區,https://www.skcinemas.com/sessions?c=1003
台中大遠百威秀影城,台中大遠百威秀影城,台中市,西屯區,https://www.vscinemas.com.tw/vsweb/film/index.aspx?theater=15%7CTZ
台中老虎城威秀影城,台中老虎城威秀影城,台中市,西屯區,https://www.vscinemas.com.tw/vsweb/film/index.aspx?theater=3%7CTT01
台中大魯閣新時代威秀影城,台中大魯閣新時代威秀影城,台中市,東區,https://www.vscinemas.com.tw/vsweb/film/index.aspx?theater=31%7CMM
台中站前秀泰影城,台中站前秀泰影城,台中市,東區,https://www.showtimes.com.tw/info/cinema/53
台中文心秀泰影城,台中文心秀泰影城,台中市,南屯區,https://www.showtimes.com.tw/info/cinema/58
台中麗寶秀泰影城,台中麗寶秀泰影城,台中市,后里區,https://www.showtimes.com.tw/info/cinema/60
